Year,Year ending,Family Incident Flag,Offence Division,Offence Subdivision,Victim Reports
2018,September,Family incident related,A Crimes against the person,A60 Blackmail and extortion,19
2018,September,Family incident related,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour","3,947"
2018,September,Family incident related,A Crimes against the person,A80 Dangerous and negligent acts endangering people,521
2018,September,Family incident related,B Property and deception offences,B Property and deception offences,"6,292"
2018,September,Family incident related,C Other offences,C Other offences,15
2018,September,Not family incident related,A Crimes against the person,A10 Homicide and related offences,183
2018,September,Not family incident related,A Crimes against the person,A20 Assault and related offences,"21,489"
2018,September,Not family incident related,A Crimes against the person,A30 Sexual offences,"5,881"
2018,September,Not family incident related,A Crimes against the person,A40 Abduction and related offences,239
2018,September,Not family incident related,A Crimes against the person,A50 Robbery,"2,836"
2018,September,Not family incident related,A Crimes against the person,A60 Blackmail and extortion,140
2018,September,Not family incident related,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour","2,912"
2018,September,Not family incident related,A Crimes against the person,A80 Dangerous and negligent acts endangering people,"2,756"
2018,September,Not family incident related,B Property and deception offences,B Property and deception offences,"147,944"
2018,September,Not family incident related,C Other offences,C Other offences,76
